板块,编号,回答主题,当前状态,方向,证据充分程度,报告期/版本,应填证据,综合规则
七维摘要,K,需求与周期,待填,待填,待填,待填,需求强弱、增长动力、复苏覆盖面及需求约束,实际报告期另填；按模板完成四个核心问题
七维摘要,M,货币与名义支出,待填,待填,待填,待填,货币环境、资金活跃程度及传导状况,实际报告期另填；按模板完成四个核心问题
七维摘要,F,金融周期与资产负债表,待填,待填,待填,待填,修复程度、融资压力及风险传导位置,实际报告期另填；按模板完成四个核心问题
七维摘要,G,要素与效率,待填,待填,待填,待填,可观察的长期增长支撑、效率变化及要素约束,实际报告期另填；按模板完成四个核心问题
七维摘要,I,创新与替代,待填,待填,待填,待填,创新转化程度、新增长动力及转型成本,实际报告期另填；按模板完成四个核心问题
七维摘要,S,产业与发展条件,待填,待填,待填,待填,产业适配程度、升级路径及发展瓶颈,实际报告期另填；按模板完成四个核心问题
七维摘要,D,积累与分配,待填,待填,待填,待填,积累与分配协调程度、群体差异及持续性约束,实际报告期另填；按模板完成四个核心问题
跨体系关系,L1,收入→消费→生产,待填,待填,待填,待填,D2/D3/K3/K2,标记已观察联系、待检验机制或证据不足；注明时滞及共享证据
跨体系关系,L2,融资→支出→回款→偿债,待填,待填,待填,待填,M3/M4/F2,标记已观察联系、待检验机制或证据不足；注明时滞及共享证据
跨体系关系,L3,住房→土地/财政→项目,待填,待填,待填,待填,F3/K4/F4,标记已观察联系、待检验机制或证据不足；注明时滞及共享证据
跨体系关系,L4,要素/创新→回报→就业,待填,待填,待填,待填,G1/I2/I3/S4/I4,标记已观察联系、待检验机制或证据不足；注明时滞及共享证据
分歧解释,DIFF,口径/时间/群体/竞争机制,待填,待填,待填,待填,涉及问题ID、共同证据、各自新增证据,不投票；不加权总分
条件观察,COND,增强/推翻当前判断的条件,待填,待填,待填,待填,等待的报告期、数据、发布节奏,政策含义写条件和代价
证据账本,EG,同源与派生关系,待填,待填,待填,待填,底层调查、来源、版本、使用体系,共享原值重复不增加证据权重
