缺口编号,体系,对应问题,维度,缺少什么,原因,有限替代,判断边界,后续核验动作
GAP001,K,总体需求与结构,省级/地级,31省及全部地级最终消费/资本形成/净出口同口径高频完整矩阵,全国和北京个别年报核验不足以证明全覆盖；全国公报只给三大需求拉动。,地方GDP、社零、财政、投资分别观察并明确样本；需额外逐地原文验证。,不把社零替代最终消费、不按全国权重分摊地区需求。,寻找同对象官方原表并核验定义、连续性和样本；得到证据后才更改覆盖
GAP002,M,货币存量到名义支出,机构部门,全社会逐月货币资产—融资—支出完整部门对应矩阵,已核验源分别是金融存量流量及GDP/住户调查，没有可直接追踪每单位资金用途的联表。,贷款与存款部门结构、社融工具结构与名义GDP并列观察。,只能描述共变；不计算资金空转率或货币传导效率。,寻找同对象官方原表并核验定义、连续性和样本；得到证据后才更改覆盖
GAP003,G,劳动投入与效率,居民群体/行业,同口径全体就业者工时分布、劳动参与和行业小时投入稳定公开全矩阵,月报是企业平均周工时，年报就业人数与之人群/期间不同。,官方全员劳动生产率、企业工时和失业率联合解释。,不能计算小时生产率或推断TFP。,寻找同对象官方原表并核验定义、连续性和样本；得到证据后才更改覆盖
GAP004,K,就业反馈,居民群体,2023年7—11月连续可比分年龄失业率,2023年8月宣布停发，2023年12月新口径起点排除在校生并新增年龄组。,新旧序列分面显示，缺失留空；总失业率作不同口径辅助。,不插值、不将旧16—24与新16—24当连续序列。,寻找同对象官方原表并核验定义、连续性和样本；得到证据后才更改覆盖
GAP005,M,货币结构,全国,2024年以前新口径M1完整官方回溯的本轮核验,A_S14只明确2024各月回溯；本轮未取得此前新口径长序列。,新M1从官方已提供回溯起，旧M1单列。,不能用比例延展或自行加总未核验个人活期/备付金。,寻找同对象官方原表并核验定义、连续性和样本；得到证据后才更改覆盖
GAP006,K,服务消费,全国/行业,全部服务零售绝对额及稳定行业矩阵；2026线上总额之前可比长序列,服务零售主要公开增速；2026线上总额扩围，新旧总额不可比。,服务零售增速、住户服务消费占比、2026网上服务新序列。,不凭同比反推没有基期的总额；不把不同口径服务指标相加。,寻找同对象官方原表并核验定义、连续性和样本；得到证据后才更改覆盖
GAP007,F,偿债能力与资产质量,省级,31省与地级可比银行资产质量及期限缺口,本轮全国监管表仅机构分类，地方局口径不一未形成全覆盖,用六类银行分组与逐地官方样本，并逐项标口径,不得用一个地方报告证明31省覆盖,寻找同对象官方原表并核验定义、连续性和样本；得到证据后才更改覆盖
GAP008,F,政府债务与金融传导,机构部门,统一、连续、免费可核验的全国隐性债务与完整地方政府资产负债表,法定债务余额不是隐债总体；公开估算口径不符合本任务规则,法定一般/专项债、还本付息、预算财力和公开置换用途并列,不得构造城投隐债模型估算或把显性总债务当风险,寻找同对象官方原表并核验定义、连续性和样本；得到证据后才更改覆盖
GAP009,G,资本投入到效率,行业,可比实际资本存量和行业TFP,FAI为投资工作量、平均账面资产也不是实际资本存量,设备投资、资产周转、收入利润率、实际增加值和工时配套,不以FAI替代资本形成或自行估算资本存量TFP,寻找同对象官方原表并核验定义、连续性和样本；得到证据后才更改覆盖
GAP010,S,经营可持续性,企业类型,规下企业和全体服务业的同口径月度盈利现金流,规上工业样本限定且月报无现金流表,独立标注工业范围，用年度经济普查/公开财报补充样本,不得将规上工业利润外推全国企业利润,寻找同对象官方原表并核验定义、连续性和样本；得到证据后才更改覆盖
