规则编号,适用问题,规则/判断对象,支持条件/执行方法,反向证据,不可推断的边界,替代解释,后续判别
R01,全局,事实与解释,先写数据事实、来源和范围，再写机制解释；条件推论与观察事实分列。,,相关性或时间顺序不独立证明因果。,,
R02,全局,证据充分程度,证据充分程度用“多环节支持、部分支持、相互矛盾、证据不足”；各问题至少检查一个结果环节和一个机制环节，并列反向证据。,,这是研究记录规范，不是统计显著性或危机概率。,,
R03,全局,共享证据,同一序列、同一调查样本、由同一原值派生的指标归入共享证据组；在七套体系中重复使用不增加独立证据数量。,,同源指标共同变动可能源于相同统计误差。,,
R04,全局,时间与版本,报告期、发布日期和本次读取日期分开；同一比较采用同版修订序列。低频值记录原报告期，不插值成为实际月度观测。,,已修订数据不能冒充历史时点当时已知数据。,,
R05,全局,范围与比率,分子分母需匹配币种、期间、地域、样本、部门和价格口径。存量/年度流量比率标明含义，不命名为偿债率。,,区分省全域、地市全域、市辖区和市本级财政。,,
R06,全局,缺失与零,原文空缺、未披露、抓取失败、口径不可比和不适用分别登记；有效零值保留。缺输入时派生结果为空并记录原因。,,不把数据缺口解释为经济活动不存在。,,
R07,全局,同比与累计,不相减累计增速得到当月增速；只有可比累计金额才可作差，且保留春节合并月、样本调整和自产自用等限制。,,基数效应与季节性必须检验。,,
R08,全局,多层次覆盖,总体分组与交叉分组分别核验；分类目录完整不等于每个组合有数据；明示已覆盖、部分覆盖、无稳定公开数据和不适用。,,无稳定公开数据仅指截至核验日未取得适用公开序列，并非断言不存在。,,
R09,全局,全景分歧,按统计口径→报告期与时滞→行业/群体→竞争解释顺序排查；仍不一致就保留分歧和下一条判别证据。,,不投票、不将七套结论加权成经济健康总分。,,
R10,全局,阈值与情景,只有公开明确界限可直接引用，例如PMI的50；历史位置仅在连续可比区间计算。政策含义以条件句表达。,,不编造红黄绿危机阈值，不把同比转正等同经济健康。,,
R11,全局,核算恒等关系,只在同版同口径表内核对；国际收支统计差额、地区与全国核算差异分别记录。,,不强制省级GDP之和等于全国GDP。,,
R12,全局,替代变量,每个代理都写明能观察什么、不能观察什么；不将劳动生产率升级为TFP、专利量升级为回报、余额升级为偿债能力。,,缺少可观测变量时缩小结论范围，不扩大代理的含义。,,
J-K1,K1,支出能否消化生产能力？,订单和销售弱，库存周转变慢、利用率下降，并有就业或价格证据。,销量、订单和利用率改善，库存下降，利润并未受损。,只能描述需求压力，不能把PPI下降直接当作需求不足的因果证明。,供给扩张、进口成本下降、结构性降价、春节错位和基数效应。,若后续结果环节与机制环节背离，应下调支持程度并重查替代解释。
J-K2,K2,消费、投资和外需谁在驱动变化？,以同版三大需求拉动为起点，用住户消费、投资和贸易分项检验方向。,贡献上升仅由其他分项下降造成，或高频代理与年度核算方向相反。,海关顺差不等于GDP净出口贡献，社零不等于最终消费支出。,净出口改善可能来自进口收缩；投资统计与资本形成口径不同。,若后续结果环节与机制环节背离，应下调支持程度并重查替代解释。
J-K3,K3,就业与价格是否支持需求改善？,就业数量或工时、实际收入与服务价格等多个环节同向改善。,工业产出回升但工资、就业和居民消费未改善。,就业人口与城镇调查失业率的统计范围不同，不能直接相减求失业人数。,劳动供给变化、产业替代、成本冲击和调查样本变化。,若后续结果环节与机制环节背离，应下调支持程度并重查替代解释。
J-K4,K4,政府支出能否带动私人支出？,支出执行后，相关订单、居民消费或民间投资持续改善。,债券发行增加而支出执行、项目活动或私人投资没有接续。,发债不等于当期新增财政需求，时间上的先后不单独证明带动效应。,共同政策冲击、项目周期、债务置换、财政存款变化。,若后续结果环节与机制环节背离，应下调支持程度并重查替代解释。
J-M1,M1,货币与名义经济如何变化？,比较可比货币增速、名义GDP与价格，区分长期关系和短期背离。,货币与名义增长背离由统计扩围或一次性存款迁移解释。,不得把M2同比与GDP实际同比相减称作流通速度。,货币需求、金融深化、支付工具改变及口径修订。,若后续结果环节与机制环节背离，应下调支持程度并重查替代解释。
J-M2,M2,资金持有和使用行为是否改变？,活期货币、部门存款结构与消费或交易活动方向一致。,存款变化源于部门间转移、理财回流或统计调整，支出并未变化。,新增住户存款不是住户储蓄流量，不能直接据此计算居民储蓄率。,存款替代、季末效应、财政收支时点。,若后续结果环节与机制环节背离，应下调支持程度并重查替代解释。
J-M3,M3,融资价格、结构与支出是否一致？,利率下降伴随企业或居民融资及相应投资消费改善。,融资增长集中于票据或政府债，私人支出弱；或利率下降但债务需求收缩。,名义利率减当期通胀只是事后近似，不命名为事前实际利率。,贷款供给与需求同时变化、借新还旧、风险溢价和政策定向支持。,若后续结果环节与机制环节背离，应下调支持程度并重查替代解释。
J-M4,M4,货币变化在哪个环节未转化为支出？,按货币→融资→支出→收入逐段对照并定位最先出现的背离。,所有阶段均改善却因使用不同时间或样本被误判为传导失败。,只能定位候选阻滞环节，不能从汇总统计推断个体资金去向。,支出时滞、债务置换、财政与私人部门替代、数据发布滞后。,若后续结果环节与机制环节背离，应下调支持程度并重查替代解释。
J-F1,F1,哪些部门在扩张或收缩负债？,贷款、债券或政府债务等同口径余额和净融资显示部门分化。,增速变化来自核销、证券化、统计调整或债务部门转移。,不能将非金融企业、地方政府和城投债务简单相加，必须检查重叠。,债务置换、融资工具替代、GDP修订。,若后续结果环节与机制环节背离，应下调支持程度并重查替代解释。
J-F2,F2,收入和现金流能否支持债务？,公开收入/利润/财政收支与付息或债务指标联合显示缓冲收窄。,利润变弱但现金回款改善，或期限延长和利息下降减轻当期压力。,政府债务/预算收入是压力代理，不是有统一阈值的违约概率。,债务展期、资产处置、财政转移、会计利润与现金流差异。,若后续结果环节与机制环节背离，应下调支持程度并重查替代解释。
