问题编号,体系,核心问题,机制假说,主要证据链,支持证据,反向证据,替代解释,独立答案,判断边界,指标编号,相关缺口
K1,凯恩斯主义,支出能否消化生产能力？,有效需求相对供给偏弱时，销售、库存、产能利用、就业和价格出现相互印证的变化。,收入与支出→订单与销售→生产与库存→就业、价格与利润,订单和销售弱，库存周转变慢、利用率下降，并有就业或价格证据。,销量、订单和利用率改善，库存下降，利润并未受损。,供给扩张、进口成本下降、结构性降价、春节错位和基数效应。,需求强弱、增长动力、复苏覆盖面及需求约束,只能描述需求压力，不能把PPI下降直接当作需求不足的因果证明。,A016；A020；A024；A026；A031；A032；A033；A034；A035；A036；A037；A038；A039；A040；A059；A060；A061；A062；A063；B001；B003；B008；B012；E001；E002；E003；E004；E005；E006,GAP001；GAP004；GAP006；GAP019；GAP021
K2,凯恩斯主义,消费、投资和外需谁在驱动变化？,支出结构变化解释增长来源，国民核算与高频代理提供不同频率的证据。,收入与支出→订单与销售→生产与库存→就业、价格与利润,以同版三大需求拉动为起点，用住户消费、投资和贸易分项检验方向。,贡献上升仅由其他分项下降造成，或高频代理与年度核算方向相反。,净出口改善可能来自进口收缩；投资统计与资本形成口径不同。,需求强弱、增长动力、复苏覆盖面及需求约束,海关顺差不等于GDP净出口贡献，社零不等于最终消费支出。,A001；A002；A006；A007；A008；A014；A015；A016；A017；A018；A019；A020；A021；A022；A023；A024；A056；A057；A058；B015；B017；B051；B052；B054；B055,GAP001；GAP004；GAP006；GAP019；GAP021
K3,凯恩斯主义,就业与价格是否支持需求改善？,广泛需求改善应逐步传导至劳动需求、居民收入及价格，但存在时滞和行业差异。,收入与支出→订单与销售→生产与库存→就业、价格与利润,就业数量或工时、实际收入与服务价格等多个环节同向改善。,工业产出回升但工资、就业和居民消费未改善。,劳动供给变化、产业替代、成本冲击和调查样本变化。,需求强弱、增长动力、复苏覆盖面及需求约束,就业人口与城镇调查失业率的统计范围不同，不能直接相减求失业人数。,A014；A015；A016；A017；A018；A019；A025；A026；A027；A028；A029；A030；A035；A039；A059；A060；A061；A062；A063；C034；C039；C040；C041；C042,GAP001；GAP004；GAP006；GAP019；GAP021
K4,凯恩斯主义,政府支出能否带动私人支出？,财政资金形成采购、转移或项目活动后，可能带动收入和私人支出；观察传导次序。,收入与支出→订单与销售→生产与库存→就业、价格与利润,支出执行后，相关订单、居民消费或民间投资持续改善。,债券发行增加而支出执行、项目活动或私人投资没有接续。,共同政策冲击、项目周期、债务置换、财政存款变化。,需求强弱、增长动力、复苏覆盖面及需求约束,发债不等于当期新增财政需求，时间上的先后不单独证明带动效应。,A016；B015；B016；B023；B025；B026；B027；B028；B029；B030；B031；B032；B033；B034；B035；B036；B037；B038；C010；C042,GAP001；GAP004；GAP006；GAP019；GAP021
M1,货币主义及货币传导分析,货币与名义经济如何变化？,货币存量与名义支出关系会受到持币行为、金融结构及统计口径变化影响。,货币与存款结构→融资条件与融资结构→名义支出→价格与收入,比较可比货币增速、名义GDP与价格，区分长期关系和短期背离。,货币与名义增长背离由统计扩围或一次性存款迁移解释。,货币需求、金融深化、支付工具改变及口径修订。,货币环境、资金活跃程度及传导状况,不得把M2同比与GDP实际同比相减称作流通速度。,A001；A002；A009；A012；A013；A041；A042；A043；A055；A059；A060；A061；A062；A063,GAP002；GAP005；GAP019
M2,货币主义及货币传导分析,资金持有和使用行为是否改变？,活期、定期及不同部门存款变化为持币行为提供线索。,货币与存款结构→融资条件与融资结构→名义支出→价格与收入,活期货币、部门存款结构与消费或交易活动方向一致。,存款变化源于部门间转移、理财回流或统计调整，支出并未变化。,存款替代、季末效应、财政收支时点。,货币环境、资金活跃程度及传导状况,新增住户存款不是住户储蓄流量，不能直接据此计算居民储蓄率。,A016；A041；A042；A043；A046；A047；R008；R014,GAP002；GAP005；GAP019
M3,货币主义及货币传导分析,融资价格、结构与支出是否一致？,融资成本变化要结合融资主体、期限及实际活动观察。,货币与存款结构→融资条件与融资结构→名义支出→价格与收入,利率下降伴随企业或居民融资及相应投资消费改善。,融资增长集中于票据或政府债，私人支出弱；或利率下降但债务需求收缩。,贷款供给与需求同时变化、借新还旧、风险溢价和政策定向支持。,货币环境、资金活跃程度及传导状况,名义利率减当期通胀只是事后近似，不命名为事前实际利率。,A016；A044；A045；A048；A049；A050；A051；A052；A053；B015；B035；B036,GAP002；GAP005；GAP019
M4,货币主义及货币传导分析,货币变化在哪个环节未转化为支出？,流动性、授信、融资取得、支出执行及收入形成是不同环节。,货币与存款结构→融资条件与融资结构→名义支出→价格与收入,按货币→融资→支出→收入逐段对照并定位最先出现的背离。,所有阶段均改善却因使用不同时间或样本被误判为传导失败。,支出时滞、债务置换、财政与私人部门替代、数据发布滞后。,货币环境、资金活跃程度及传导状况,只能定位候选阻滞环节，不能从汇总统计推断个体资金去向。,A014；A016；A044；A045；A046；A047；A048；A049；B001；B003；B015；B026；B030,GAP002；GAP005；GAP019
F1,金融周期及资产负债表分析,哪些部门在扩张或收缩负债？,负债变化需要同时考虑债务规模、部门结构以及名义收入分母。,资产价格与收入→债务及期限→偿付与再融资→金融机构和其他部门,贷款、债券或政府债务等同口径余额和净融资显示部门分化。,增速变化来自核销、证券化、统计调整或债务部门转移。,债务置换、融资工具替代、GDP修订。,修复程度、融资压力及风险传导位置,不能将非金融企业、地方政府和城投债务简单相加，必须检查重叠。,A044；A045；A048；A049；B005；B032；B033；B034；B035；B036；B053；B054；B055；B056；B057；B058；B059；B060；B061；B062；B063；R010,GAP007；GAP008；GAP011；GAP012；GAP019；GAP022；GAP023
F2,金融周期及资产负债表分析,收入和现金流能否支持债务？,相同债务规模下，现金流、付息负担和到期结构决定压力差异。,资产价格与收入→债务及期限→偿付与再融资→金融机构和其他部门,公开收入/利润/财政收支与付息或债务指标联合显示缓冲收窄。,利润变弱但现金回款改善，或期限延长和利息下降减轻当期压力。,债务展期、资产处置、财政转移、会计利润与现金流差异。,修复程度、融资压力及风险传导位置,政府债务/预算收入是压力代理，不是有统一阈值的违约概率。,B001；B002；B003；B004；B005；B006；B007；B009；B010；B011；B023；B024；B025；B026；B027；B028；B029；B030；B031；B032；B033；B034；B035；B036；B037；B038,GAP007；GAP008；GAP011；GAP012；GAP019；GAP022；GAP023
