指标编号,指标名称,模块,性质,经济含义/定义,单位,统计对象/范围,频率,时点/期间,存量/流量,价格口径,当期/累计,来源编号,原文定位,历史覆盖证据,更新规律,口径断点/修订,公式（文字定义）,输入指标,适用条件,对应体系,问题编号,可能解释,配套证据,误读风险,共享证据组,维度范围,原文链接
A001,国内生产总值现价总量,产出总量,公开发布,国内常住单位报告期创造的最终生产成果。,亿元,全国经济领土常住单位，不含港澳台,季度、年度,期间,流量,名义,当期,A_S01,表1 GDP行及附件1.1,表2—3实际展示2020—2025年各季同比、季调环比；附件记载1992年起季度核算、2015年三季度改分季核算、2011年起公布环比。,季度、年度,采用最新修订历史基期；2015年三季度季度核算改分季；经济普查、分类和基期更换后会追溯修订。,原文发布,,按发布报告期及统计边界记录，保留原始精度和版本。,K；M,K2；M1,名义产出及收入流量的总尺度。,实际GDP增速；三大需求；最新基期修订,不是财富存量；非全部交易总额。,EG-国民核算,全国：已覆盖（全国经济领土常住单位，不含港澳台）；省级：已覆盖（北京；天津；河北；山西；内蒙古；辽宁；吉林；黑龙江；上海；江苏；浙江；安徽；福建；江西；山东；河南；湖北；湖南；广东；广西；海南；重庆；四川；贵州；云南；西藏；陕西；甘肃；青海；宁夏；新疆）；地级：无稳定公开数据（）；行业：无稳定公开数据（）；企业类型：无稳定公开数据（）；居民群体：无稳定公开数据（）；机构部门：无稳定公开数据（）,https://www.stats.gov.cn/zwfwck/sjfb/202601/t20260120_1962349.html
A002,国内生产总值实际增长（同比/季调环比）,产出增长,公开发布,剔除价格后的GDP相对上年同期变化。；季调环比采用发布方季节调整结果，与同比作为同一实际GDP变动的不同比较形式。,%,全国经济领土常住单位，不含港澳台,季度、年度,比率,比率,实际,当期,A_S01,表1增长列、表2,表2—3实际展示2020—2025年各季同比、季调环比；附件记载1992年起季度核算、2015年三季度改分季核算、2011年起公布环比。,季度、年度,采用最新修订历史基期；2015年三季度季度核算改分季；经济普查、分类和基期更换后会追溯修订。,原文发布,,按发布报告期及统计边界记录，保留原始精度和版本。；同比与季调环比分开记录，后者随新增数据追溯修订。,G；K；M,K2；M1；G3,观察实际产出变化。,GDP现价；季调环比,不得用两年现价GDP比值代替。,EG-国民核算,全国：已覆盖（全国经济领土常住单位，不含港澳台）；省级：部分覆盖（北京）；地级：无稳定公开数据（）；行业：无稳定公开数据（）；企业类型：无稳定公开数据（）；居民群体：无稳定公开数据（）；机构部门：无稳定公开数据（）,https://www.stats.gov.cn/zwfwck/sjfb/202601/t20260120_1962349.html
A004,分产业及行业增加值现价额,产出结构,公开发布,按三次产业与行业核算的增加值；分类保存在维度中。,亿元,全国各常住生产单位,季度、年度,期间,流量,名义,当期,A_S01,表1分行业绝对额,表2—3实际展示2020—2025年各季同比、季调环比；附件记载1992年起季度核算、2015年三季度改分季核算、2011年起公布环比。,季度、年度,采用最新修订历史基期；2015年三季度季度核算改分季；经济普查、分类和基期更换后会追溯修订。,原文发布,,按发布报告期及统计边界记录，保留原始精度和版本。,G；S,G2；G3；G4；S1；S3,识别名义结构权重。,同业实际增长；行业分类标准,制造业是工业子项，三次产业与行业表不能叠加求和。,EG-国民核算,全国：已覆盖（全国各常住生产单位）；省级：已覆盖（北京；天津；河北；山西；内蒙古；辽宁；吉林；黑龙江；上海；江苏；浙江；安徽；福建；江西；山东；河南；湖北；湖南；广东；广西；海南；重庆；四川；贵州；云南；西藏；陕西；甘肃；青海；宁夏；新疆）；地级：无稳定公开数据（）；行业：已覆盖（第一产业；第二产业；第三产业；农林牧渔业；工业；制造业；建筑业；批发和零售业；交通运输仓储和邮政业；住宿和餐饮业；金融业；房地产业；信息传输软件和信息技术服务业；租赁和商务服务业；其他行业）；企业类型：无稳定公开数据（）；居民群体：无稳定公开数据（）；机构部门：无稳定公开数据（）,https://www.stats.gov.cn/zwfwck/sjfb/202601/t20260120_1962349.html
A005,分产业及行业增加值实际增速,产出结构,公开发布,分行业扣除价格后的同比增长。,%,全国各常住生产单位,季度、年度,比率,比率,实际,当期,A_S01,表1分行业增长列,表2—3实际展示2020—2025年各季同比、季调环比；附件记载1992年起季度核算、2015年三季度改分季核算、2011年起公布环比。,季度、年度,采用最新修订历史基期；2015年三季度季度核算改分季；经济普查、分类和基期更换后会追溯修订。,原文发布,,按发布报告期及统计边界记录，保留原始精度和版本。,G；S,G2；G3；G4；S1；S3,检查增长是否具有行业广度。,现价增加值；就业,增加值增速不能和营业收入增速混用。,EG-国民核算,全国：已覆盖（全国各常住生产单位）；省级：部分覆盖（北京；天津；河北；山西；内蒙古；辽宁；吉林；黑龙江；上海；江苏；浙江；安徽；福建；江西；山东；河南；湖北；湖南；广东；广西；海南；重庆；四川；贵州；云南；西藏；陕西；甘肃；青海；宁夏；新疆）；地级：无稳定公开数据（）；行业：已覆盖（第一产业；第二产业；第三产业；农林牧渔业；工业；制造业；建筑业；批发和零售业；交通运输仓储和邮政业；住宿和餐饮业；金融业；房地产业；信息传输软件和信息技术服务业；租赁和商务服务业；其他行业）；企业类型：无稳定公开数据（）；居民群体：无稳定公开数据（）；机构部门：无稳定公开数据（）,https://www.stats.gov.cn/zwfwck/sjfb/202601/t20260120_1962349.html
A006,最终消费支出对GDP增长的拉动,支出分解,公开发布,居民与政府最终消费的实际增长贡献，以百分点表达。,百分点,全国支出法核算范围,年度（季度须另核当期发布）,比率,比率,实际,全年,A_S03,一综合首段三大需求拉动,年度公报；图示近年变化，本轮不从图片补造未读数值。,年度,采用最新修订历史基期；2015年三季度季度核算改分季；经济普查、分类和基期更换后会追溯修订。,原文发布,,按发布报告期及统计边界记录，保留原始精度和版本。,K,K2,拆解实际GDP增长的需求来源。,GDP实际增速；居民收支；财政支出；投资；国际收支,贡献是会计分解而非因果；消费非社零、投资非固定资产投资、净出口非海关顺差。,EG-国民核算,全国：已覆盖（全国支出法核算范围）；省级：无稳定公开数据（）；地级：无稳定公开数据（）；行业：无稳定公开数据（）；企业类型：无稳定公开数据（）；居民群体：无稳定公开数据（）；机构部门：无稳定公开数据（）,https://www.stats.gov.cn/sj/zxfb/202602/t20260228_1962662.html
A007,资本形成总额对GDP增长的拉动,支出分解,公开发布,固定资本形成与存货变化的实际增长贡献，以百分点表达。,百分点,全国支出法核算范围,年度（季度须另核当期发布）,比率,比率,实际,全年,A_S03,一综合首段三大需求拉动,年度公报；图示近年变化，本轮不从图片补造未读数值。,年度,采用最新修订历史基期；2015年三季度季度核算改分季；经济普查、分类和基期更换后会追溯修订。,原文发布,,按发布报告期及统计边界记录，保留原始精度和版本。,D；G；K,K2；G2；D1,拆解实际GDP增长的需求来源。,GDP实际增速；居民收支；财政支出；投资；国际收支,贡献是会计分解而非因果；消费非社零、投资非固定资产投资、净出口非海关顺差。,EG-国民核算,全国：已覆盖（全国支出法核算范围）；省级：无稳定公开数据（）；地级：无稳定公开数据（）；行业：无稳定公开数据（）；企业类型：无稳定公开数据（）；居民群体：无稳定公开数据（）；机构部门：无稳定公开数据（）,https://www.stats.gov.cn/sj/zxfb/202602/t20260228_1962662.html
A008,货物和服务净出口对GDP增长的拉动,支出分解,公开发布,货物和服务出口减进口的实际增长贡献，以百分点表达。,百分点,全国支出法核算范围,年度（季度须另核当期发布）,比率,比率,实际,全年,A_S03,一综合首段三大需求拉动,年度公报；图示近年变化，本轮不从图片补造未读数值。,年度,采用最新修订历史基期；2015年三季度季度核算改分季；经济普查、分类和基期更换后会追溯修订。,原文发布,,按发布报告期及统计边界记录，保留原始精度和版本。,K,K2,拆解实际GDP增长的需求来源。,GDP实际增速；居民收支；财政支出；投资；国际收支,贡献是会计分解而非因果；消费非社零、投资非固定资产投资、净出口非海关顺差。,EG-国民核算,全国：已覆盖（全国支出法核算范围）；省级：无稳定公开数据（）；地级：无稳定公开数据（）；行业：无稳定公开数据（）；企业类型：无稳定公开数据（）；居民群体：无稳定公开数据（）；机构部门：无稳定公开数据（）,https://www.stats.gov.cn/sj/zxfb/202602/t20260228_1962662.html
A009,国民总收入现价额,初次收入,公开发布,GDP加来自国外的初次分配收入净额。,亿元,全国常住机构单位,年度,期间,流量,名义,全年,A_S03,一综合、注3,年度公报；图示近年变化，本轮不从图片补造未读数值。,年度,采用最新修订历史基期；2015年三季度季度核算改分季；经济普查、分类和基期更换后会追溯修订。,原文发布,,按发布报告期及统计边界记录，保留原始精度和版本。,M,M1,核对生产所在地与居民收入归属。,GDP；国际收支初次收入,不等于居民可支配收入；不能用贸易顺差替代国外初次收入。,EG-国民核算,全国：已覆盖（全国常住机构单位）；省级：无稳定公开数据（）；地级：无稳定公开数据（）；行业：无稳定公开数据（）；企业类型：无稳定公开数据（）；居民群体：无稳定公开数据（）；机构部门：无稳定公开数据（）,https://www.stats.gov.cn/sj/zxfb/202602/t20260228_1962662.html
A010,人均国内生产总值现价额,人均产出,公开发布,按人口口径折算的人均GDP公开值。,元/人,全国常住人口,年度,比率,比率,名义,全年,A_S03,一综合、注2,年度公报；图示近年变化，本轮不从图片补造未读数值。,年度,采用最新修订历史基期；2015年三季度季度核算改分季；经济普查、分类和基期更换后会追溯修订。,原文发布,,按发布报告期及统计边界记录，保留原始精度和版本。,G；S,G4；S1,衡量人均生产规模。,居民收入；就业率,不是个人实际收入、分布或劳动生产率。,EG-国民核算,全国：已覆盖（全国常住人口）；省级：已覆盖（北京；天津；河北；山西；内蒙古；辽宁；吉林；黑龙江；上海；江苏；浙江；安徽；福建；江西；山东；河南；湖北；湖南；广东；广西；海南；重庆；四川；贵州；云南；西藏；陕西；甘肃；青海；宁夏；新疆）；地级：无稳定公开数据（）；行业：无稳定公开数据（）；企业类型：无稳定公开数据（）；居民群体：无稳定公开数据（）；机构部门：无稳定公开数据（）,https://www.stats.gov.cn/sj/zxfb/202602/t20260228_1962662.html
A011,全员劳动生产率,劳动效率,公开发布,2020年价格GDP除以全部就业人员。,元/人,全国全部就业人员,年度,比率,比率,实际,全年,A_S03,一综合、注4；第一部分及注4：2025年184413元/人，提高6.1%。,年度公报；图示近年变化，本轮不从图片补造未读数值。；全国年度统计公报目录已读，列2011—2025年度；本文多个图列2021—2025但本轮不转录未目视图值。,年度,采用最新修订历史基期；2015年三季度季度核算改分季；经济普查、分类和基期更换后会追溯修订。；注1明确初步统计。医保有2026-07正式公报修订；此文医疗参保数只作快报版本记录。GDP与人口修订会改写比率。,原文发布,,按发布报告期及统计边界记录，保留原始精度和版本。；官方全员劳动生产率口径，不自行以名义GDP除年末就业替代。,D；G；I,G3；G4；I4；D2,观察每位就业者的平均实际产出。,就业人数；工时；行业结构,不是小时生产率、TFP或技术进步单独贡献。,EG-国民核算,全国：已覆盖（全国全部就业人员）；省级：无稳定公开数据（）；地级：无稳定公开数据（）；行业：无稳定公开数据（）；企业类型：无稳定公开数据（）；居民群体：无稳定公开数据（）；机构部门：无稳定公开数据（）,https://www.stats.gov.cn/sj/zxfb/202602/t20260228_1962662.html
