记录类型,记录编号,问题编号,指标编号,维度编号,维度/层级,覆盖状态,已核验成员/分类,来源编号,覆盖依据,限制/版本,核验性质
维度目录,DIM-NAT,,,DIM-NAT,全国,目录成员,全国,,内地统计范围；来源若另有范围从其规定,来源统计年度,目录不是数据覆盖声明
维度目录,DIM-PROV,,,DIM-PROV,省级,目录成员,省级,R_GEO_RULE,31省级地区，直辖市单列；省全域,来源统计年度,目录不是数据覆盖声明
维度目录,DIM-PREF,,,DIM-PREF,地级,目录成员,地级,R_GEO_RULE,地级市/地区/自治州/盟；市辖区、市全域和市本级财政分开,来源统计年度,目录不是数据覆盖声明
维度目录,DIM-IND,,,DIM-IND,行业,目录成员,行业,R_INDUSTRY,国民经济行业分类及专题映射；仅来源支持组合,来源统计年度,目录不是数据覆盖声明
维度目录,DIM-FIRM,,,DIM-FIRM,企业类型,目录成员,企业类型,,所有制、登记类型、规模、统计门槛分别记，不默认互斥,来源统计年度,目录不是数据覆盖声明
维度目录,DIM-HH,,,DIM-HH,居民群体,目录成员,居民群体,,城乡、收入五等份、年龄、就业身份；分类不可机械交叉,来源统计年度,目录不是数据覆盖声明
维度目录,DIM-SEC,,,DIM-SEC,机构部门,目录成员,机构部门,,住户、非金融企业、金融机构、广义政府、国外；不等同登记所有制,来源统计年度,目录不是数据覆盖声明
维度目录,PROV-11,,,PROV-11,省级成员,目录成员,北京,R_REGION_ADMIN,直辖市；单列比较，不计入地级行政区划,2024-12-31,目录不是数据覆盖声明
维度目录,PROV-12,,,PROV-12,省级成员,目录成员,天津,R_REGION_ADMIN,直辖市；单列比较，不计入地级行政区划,2024-12-31,目录不是数据覆盖声明
维度目录,PROV-13,,,PROV-13,省级成员,目录成员,河北,R_REGION_ADMIN,2024年末下辖地级单位11个,2024-12-31,目录不是数据覆盖声明
维度目录,PROV-14,,,PROV-14,省级成员,目录成员,山西,R_REGION_ADMIN,2024年末下辖地级单位11个,2024-12-31,目录不是数据覆盖声明
维度目录,PROV-15,,,PROV-15,省级成员,目录成员,内蒙古,R_REGION_ADMIN,2024年末下辖地级单位12个,2024-12-31,目录不是数据覆盖声明
维度目录,PROV-21,,,PROV-21,省级成员,目录成员,辽宁,R_REGION_ADMIN,2024年末下辖地级单位14个,2024-12-31,目录不是数据覆盖声明
维度目录,PROV-22,,,PROV-22,省级成员,目录成员,吉林,R_REGION_ADMIN,2024年末下辖地级单位9个,2024-12-31,目录不是数据覆盖声明
维度目录,PROV-23,,,PROV-23,省级成员,目录成员,黑龙江,R_REGION_ADMIN,2024年末下辖地级单位13个,2024-12-31,目录不是数据覆盖声明
维度目录,PROV-31,,,PROV-31,省级成员,目录成员,上海,R_REGION_ADMIN,直辖市；单列比较，不计入地级行政区划,2024-12-31,目录不是数据覆盖声明
维度目录,PROV-32,,,PROV-32,省级成员,目录成员,江苏,R_REGION_ADMIN,2024年末下辖地级单位13个,2024-12-31,目录不是数据覆盖声明
维度目录,PROV-33,,,PROV-33,省级成员,目录成员,浙江,R_REGION_ADMIN,2024年末下辖地级单位11个,2024-12-31,目录不是数据覆盖声明
维度目录,PROV-34,,,PROV-34,省级成员,目录成员,安徽,R_REGION_ADMIN,2024年末下辖地级单位16个,2024-12-31,目录不是数据覆盖声明
维度目录,PROV-35,,,PROV-35,省级成员,目录成员,福建,R_REGION_ADMIN,2024年末下辖地级单位9个,2024-12-31,目录不是数据覆盖声明
维度目录,PROV-36,,,PROV-36,省级成员,目录成员,江西,R_REGION_ADMIN,2024年末下辖地级单位11个,2024-12-31,目录不是数据覆盖声明
维度目录,PROV-37,,,PROV-37,省级成员,目录成员,山东,R_REGION_ADMIN,2024年末下辖地级单位16个,2024-12-31,目录不是数据覆盖声明
维度目录,PROV-41,,,PROV-41,省级成员,目录成员,河南,R_REGION_ADMIN,2024年末下辖地级单位17个,2024-12-31,目录不是数据覆盖声明
维度目录,PROV-42,,,PROV-42,省级成员,目录成员,湖北,R_REGION_ADMIN,2024年末下辖地级单位13个,2024-12-31,目录不是数据覆盖声明
维度目录,PROV-43,,,PROV-43,省级成员,目录成员,湖南,R_REGION_ADMIN,2024年末下辖地级单位14个,2024-12-31,目录不是数据覆盖声明
维度目录,PROV-44,,,PROV-44,省级成员,目录成员,广东,R_REGION_ADMIN,2024年末下辖地级单位21个,2024-12-31,目录不是数据覆盖声明
维度目录,PROV-45,,,PROV-45,省级成员,目录成员,广西,R_REGION_ADMIN,2024年末下辖地级单位14个,2024-12-31,目录不是数据覆盖声明
维度目录,PROV-46,,,PROV-46,省级成员,目录成员,海南,R_REGION_ADMIN,2024年末下辖地级单位4个,2024-12-31,目录不是数据覆盖声明
维度目录,PROV-50,,,PROV-50,省级成员,目录成员,重庆,R_REGION_ADMIN,直辖市；单列比较，不计入地级行政区划,2024-12-31,目录不是数据覆盖声明
维度目录,PROV-51,,,PROV-51,省级成员,目录成员,四川,R_REGION_ADMIN,2024年末下辖地级单位21个,2024-12-31,目录不是数据覆盖声明
维度目录,PROV-52,,,PROV-52,省级成员,目录成员,贵州,R_REGION_ADMIN,2024年末下辖地级单位9个,2024-12-31,目录不是数据覆盖声明
维度目录,PROV-53,,,PROV-53,省级成员,目录成员,云南,R_REGION_ADMIN,2024年末下辖地级单位16个,2024-12-31,目录不是数据覆盖声明
维度目录,PROV-54,,,PROV-54,省级成员,目录成员,西藏,R_REGION_ADMIN,2024年末下辖地级单位7个,2024-12-31,目录不是数据覆盖声明
维度目录,PROV-61,,,PROV-61,省级成员,目录成员,陕西,R_REGION_ADMIN,2024年末下辖地级单位10个,2024-12-31,目录不是数据覆盖声明
维度目录,PROV-62,,,PROV-62,省级成员,目录成员,甘肃,R_REGION_ADMIN,2024年末下辖地级单位14个,2024-12-31,目录不是数据覆盖声明
维度目录,PROV-63,,,PROV-63,省级成员,目录成员,青海,R_REGION_ADMIN,2024年末下辖地级单位8个,2024-12-31,目录不是数据覆盖声明
维度目录,PROV-64,,,PROV-64,省级成员,目录成员,宁夏,R_REGION_ADMIN,2024年末下辖地级单位5个,2024-12-31,目录不是数据覆盖声明
维度目录,PROV-65,,,PROV-65,省级成员,目录成员,新疆,R_REGION_ADMIN,2024年末下辖地级单位14个,2024-12-31,目录不是数据覆盖声明
维度目录,IND-A,,,IND-A,行业门类,目录成员,农、林、牧、渔业,R_INDUSTRY,分类目录成员；不是该门类全部指标已公开的声明,GB/T4754—2017及第1号修改单,目录不是数据覆盖声明
维度目录,IND-B,,,IND-B,行业门类,目录成员,采矿业,R_INDUSTRY,分类目录成员；不是该门类全部指标已公开的声明,GB/T4754—2017及第1号修改单,目录不是数据覆盖声明
维度目录,IND-C,,,IND-C,行业门类,目录成员,制造业,R_INDUSTRY,分类目录成员；不是该门类全部指标已公开的声明,GB/T4754—2017及第1号修改单,目录不是数据覆盖声明
维度目录,IND-D,,,IND-D,行业门类,目录成员,电力、热力、燃气及水生产和供应业,R_INDUSTRY,分类目录成员；不是该门类全部指标已公开的声明,GB/T4754—2017及第1号修改单,目录不是数据覆盖声明
维度目录,IND-E,,,IND-E,行业门类,目录成员,建筑业,R_INDUSTRY,分类目录成员；不是该门类全部指标已公开的声明,GB/T4754—2017及第1号修改单,目录不是数据覆盖声明
维度目录,IND-F,,,IND-F,行业门类,目录成员,批发和零售业,R_INDUSTRY,分类目录成员；不是该门类全部指标已公开的声明,GB/T4754—2017及第1号修改单,目录不是数据覆盖声明
维度目录,IND-G,,,IND-G,行业门类,目录成员,交通运输、仓储和邮政业,R_INDUSTRY,分类目录成员；不是该门类全部指标已公开的声明,GB/T4754—2017及第1号修改单,目录不是数据覆盖声明
维度目录,IND-H,,,IND-H,行业门类,目录成员,住宿和餐饮业,R_INDUSTRY,分类目录成员；不是该门类全部指标已公开的声明,GB/T4754—2017及第1号修改单,目录不是数据覆盖声明
维度目录,IND-I,,,IND-I,行业门类,目录成员,信息传输、软件和信息技术服务业,R_INDUSTRY,分类目录成员；不是该门类全部指标已公开的声明,GB/T4754—2017及第1号修改单,目录不是数据覆盖声明
维度目录,IND-J,,,IND-J,行业门类,目录成员,金融业,R_INDUSTRY,分类目录成员；不是该门类全部指标已公开的声明,GB/T4754—2017及第1号修改单,目录不是数据覆盖声明
维度目录,IND-K,,,IND-K,行业门类,目录成员,房地产业,R_INDUSTRY,分类目录成员；不是该门类全部指标已公开的声明,GB/T4754—2017及第1号修改单,目录不是数据覆盖声明
维度目录,IND-L,,,IND-L,行业门类,目录成员,租赁和商务服务业,R_INDUSTRY,分类目录成员；不是该门类全部指标已公开的声明,GB/T4754—2017及第1号修改单,目录不是数据覆盖声明
维度目录,IND-M,,,IND-M,行业门类,目录成员,科学研究和技术服务业,R_INDUSTRY,分类目录成员；不是该门类全部指标已公开的声明,GB/T4754—2017及第1号修改单,目录不是数据覆盖声明
维度目录,IND-N,,,IND-N,行业门类,目录成员,水利、环境和公共设施管理业,R_INDUSTRY,分类目录成员；不是该门类全部指标已公开的声明,GB/T4754—2017及第1号修改单,目录不是数据覆盖声明
维度目录,IND-O,,,IND-O,行业门类,目录成员,居民服务、修理和其他服务业,R_INDUSTRY,分类目录成员；不是该门类全部指标已公开的声明,GB/T4754—2017及第1号修改单,目录不是数据覆盖声明
维度目录,IND-P,,,IND-P,行业门类,目录成员,教育,R_INDUSTRY,分类目录成员；不是该门类全部指标已公开的声明,GB/T4754—2017及第1号修改单,目录不是数据覆盖声明
维度目录,IND-Q,,,IND-Q,行业门类,目录成员,卫生和社会工作,R_INDUSTRY,分类目录成员；不是该门类全部指标已公开的声明,GB/T4754—2017及第1号修改单,目录不是数据覆盖声明
维度目录,IND-R,,,IND-R,行业门类,目录成员,文化、体育和娱乐业,R_INDUSTRY,分类目录成员；不是该门类全部指标已公开的声明,GB/T4754—2017及第1号修改单,目录不是数据覆盖声明
维度目录,IND-S,,,IND-S,行业门类,目录成员,公共管理、社会保障和社会组织,R_INDUSTRY,分类目录成员；不是该门类全部指标已公开的声明,GB/T4754—2017及第1号修改单,目录不是数据覆盖声明
维度目录,IND-T,,,IND-T,行业门类,目录成员,国际组织,R_INDUSTRY,分类目录成员；不是该门类全部指标已公开的声明,GB/T4754—2017及第1号修改单,目录不是数据覆盖声明
维度目录,DIM-HH-01,,,DIM-HH-01,居民群体成员,目录成员,城镇,A_S04,仅用于对应来源，交叉与重叠按指标覆盖栏,指标来源版本,目录不是数据覆盖声明
维度目录,DIM-HH-02,,,DIM-HH-02,居民群体成员,目录成员,农村,A_S04,仅用于对应来源，交叉与重叠按指标覆盖栏,指标来源版本,目录不是数据覆盖声明
维度目录,DIM-HH-03,,,DIM-HH-03,居民群体成员,目录成员,低收入组,A_S04,仅用于对应来源，交叉与重叠按指标覆盖栏,指标来源版本,目录不是数据覆盖声明
维度目录,DIM-HH-04,,,DIM-HH-04,居民群体成员,目录成员,中间偏下收入组,A_S04,仅用于对应来源，交叉与重叠按指标覆盖栏,指标来源版本,目录不是数据覆盖声明
维度目录,DIM-HH-05,,,DIM-HH-05,居民群体成员,目录成员,中间收入组,A_S04,仅用于对应来源，交叉与重叠按指标覆盖栏,指标来源版本,目录不是数据覆盖声明
维度目录,DIM-HH-06,,,DIM-HH-06,居民群体成员,目录成员,中间偏上收入组,A_S04,仅用于对应来源，交叉与重叠按指标覆盖栏,指标来源版本,目录不是数据覆盖声明
维度目录,DIM-HH-07,,,DIM-HH-07,居民群体成员,目录成员,高收入组,A_S04,仅用于对应来源，交叉与重叠按指标覆盖栏,指标来源版本,目录不是数据覆盖声明
维度目录,DIM-HH-08,,,DIM-HH-08,居民群体成员,目录成员,16—24岁（不含在校生）,,仅用于对应来源，交叉与重叠按指标覆盖栏,指标来源版本,目录不是数据覆盖声明
维度目录,DIM-HH-09,,,DIM-HH-09,居民群体成员,目录成员,25—29岁（不含在校生）,,仅用于对应来源，交叉与重叠按指标覆盖栏,指标来源版本,目录不是数据覆盖声明
维度目录,DIM-HH-10,,,DIM-HH-10,居民群体成员,目录成员,30—59岁（不含在校生）,,仅用于对应来源，交叉与重叠按指标覆盖栏,指标来源版本,目录不是数据覆盖声明
维度目录,DIM-HH-11,,,DIM-HH-11,居民群体成员,目录成员,农民工,,仅用于对应来源，交叉与重叠按指标覆盖栏,指标来源版本,目录不是数据覆盖声明
维度目录,DIM-FIRM-01,,,DIM-FIRM-01,企业类型成员,目录成员,国有控股,B_S01,仅用于对应来源，交叉与重叠按指标覆盖栏,指标来源版本,目录不是数据覆盖声明
维度目录,DIM-FIRM-02,,,DIM-FIRM-02,企业类型成员,目录成员,股份制,B_S01,仅用于对应来源，交叉与重叠按指标覆盖栏,指标来源版本,目录不是数据覆盖声明
维度目录,DIM-FIRM-03,,,DIM-FIRM-03,企业类型成员,目录成员,外商及港澳台投资,B_S01,仅用于对应来源，交叉与重叠按指标覆盖栏,指标来源版本,目录不是数据覆盖声明
维度目录,DIM-FIRM-04,,,DIM-FIRM-04,企业类型成员,目录成员,私营,B_S01,仅用于对应来源，交叉与重叠按指标覆盖栏,指标来源版本,目录不是数据覆盖声明
