映射编号,问题编号,指标编号,指标名称,本指标观察含义,本问题机制,支持证据组合,反向证据组合,替代解释,本问题边界,共享证据组,来源编号
MAP0001,K1,A016,居民人均消费支出,需求端住户消费水平。,有效需求相对供给偏弱时，销售、库存、产能利用、就业和价格出现相互印证的变化。,订单和销售弱，库存周转变慢、利用率下降，并有就业或价格证据。,销量、订单和利用率改善，库存下降，利润并未受损。,供给扩张、进口成本下降、结构性降价、春节错位和基数效应。,只能描述需求压力，不能把PPI下降直接当作需求不足的因果证明。,EG-住户调查,A_S04
MAP0002,K1,A020,社会消费品零售总额,高频商品和餐饮交易需求信号。,有效需求相对供给偏弱时，销售、库存、产能利用、就业和价格出现相互印证的变化。,订单和销售弱，库存周转变慢、利用率下降，并有就业或价格证据。,销量、订单和利用率改善，库存下降，利润并未受损。,供给扩张、进口成本下降、结构性降价、春节错位和基数效应。,只能描述需求压力，不能把PPI下降直接当作需求不足的因果证明。,EG-A_S05,A_S05
MAP0003,K1,A024,服务零售额同比增速,补充社零对多数服务消费覆盖不足。,有效需求相对供给偏弱时，销售、库存、产能利用、就业和价格出现相互印证的变化。,订单和销售弱，库存周转变慢、利用率下降，并有就业或价格证据。,销量、订单和利用率改善，库存下降，利润并未受损。,供给扩张、进口成本下降、结构性降价、春节错位和基数效应。,只能描述需求压力，不能把PPI下降直接当作需求不足的因果证明。,EG-A_S07,A_S07
MAP0004,K1,A026,不含在校生分年龄组城镇调查失业率,检查年龄结构差异。,有效需求相对供给偏弱时，销售、库存、产能利用、就业和价格出现相互印证的变化。,订单和销售弱，库存周转变慢、利用率下降，并有就业或价格证据。,销量、订单和利用率改善，库存下降，利润并未受损。,供给扩张、进口成本下降、结构性降价、春节错位和基数效应。,只能描述需求压力，不能把PPI下降直接当作需求不足的因果证明。,EG-劳动力调查,A_S08
MAP0005,K1,A031,制造业采购经理指数PMI,制造业总体环比景气。,有效需求相对供给偏弱时，销售、库存、产能利用、就业和价格出现相互印证的变化。,订单和销售弱，库存周转变慢、利用率下降，并有就业或价格证据。,销量、订单和利用率改善，库存下降，利润并未受损。,供给扩张、进口成本下降、结构性降价、春节错位和基数效应。,只能描述需求压力，不能把PPI下降直接当作需求不足的因果证明。,EG-A_S06,A_S06
MAP0006,K1,A032,制造业PMI生产指数,生产扩张或收缩广度。,有效需求相对供给偏弱时，销售、库存、产能利用、就业和价格出现相互印证的变化。,订单和销售弱，库存周转变慢、利用率下降，并有就业或价格证据。,销量、订单和利用率改善，库存下降，利润并未受损。,供给扩张、进口成本下降、结构性降价、春节错位和基数效应。,只能描述需求压力，不能把PPI下降直接当作需求不足的因果证明。,EG-A_S06,A_S06
MAP0007,K1,A033,制造业PMI新订单指数,近期订单需求广度。,有效需求相对供给偏弱时，销售、库存、产能利用、就业和价格出现相互印证的变化。,订单和销售弱，库存周转变慢、利用率下降，并有就业或价格证据。,销量、订单和利用率改善，库存下降，利润并未受损。,供给扩张、进口成本下降、结构性降价、春节错位和基数效应。,只能描述需求压力，不能把PPI下降直接当作需求不足的因果证明。,EG-A_S06,A_S06
MAP0008,K1,A034,制造业PMI新出口订单指数,外需订单方向。,有效需求相对供给偏弱时，销售、库存、产能利用、就业和价格出现相互印证的变化。,订单和销售弱，库存周转变慢、利用率下降，并有就业或价格证据。,销量、订单和利用率改善，库存下降，利润并未受损。,供给扩张、进口成本下降、结构性降价、春节错位和基数效应。,只能描述需求压力，不能把PPI下降直接当作需求不足的因果证明。,EG-A_S06,A_S06
MAP0009,K1,A035,制造业PMI从业人员指数,企业用工景气。,有效需求相对供给偏弱时，销售、库存、产能利用、就业和价格出现相互印证的变化。,订单和销售弱，库存周转变慢、利用率下降，并有就业或价格证据。,销量、订单和利用率改善，库存下降，利润并未受损。,供给扩张、进口成本下降、结构性降价、春节错位和基数效应。,只能描述需求压力，不能把PPI下降直接当作需求不足的因果证明。,EG-A_S06,A_S06
MAP0010,K1,A036,制造业PMI主要原材料购进价格指数,投入成本上涨或下降的企业覆盖面。,有效需求相对供给偏弱时，销售、库存、产能利用、就业和价格出现相互印证的变化。,订单和销售弱，库存周转变慢、利用率下降，并有就业或价格证据。,销量、订单和利用率改善，库存下降，利润并未受损。,供给扩张、进口成本下降、结构性降价、春节错位和基数效应。,只能描述需求压力，不能把PPI下降直接当作需求不足的因果证明。,EG-A_S06,A_S06
MAP0011,K1,A037,制造业PMI出厂价格指数,产品价格变化的企业覆盖面。,有效需求相对供给偏弱时，销售、库存、产能利用、就业和价格出现相互印证的变化。,订单和销售弱，库存周转变慢、利用率下降，并有就业或价格证据。,销量、订单和利用率改善，库存下降，利润并未受损。,供给扩张、进口成本下降、结构性降价、春节错位和基数效应。,只能描述需求压力，不能把PPI下降直接当作需求不足的因果证明。,EG-A_S06,A_S06
MAP0012,K1,A038,制造业PMI产成品库存指数,库存方向；需结合订单区分主动或被动。,有效需求相对供给偏弱时，销售、库存、产能利用、就业和价格出现相互印证的变化。,订单和销售弱，库存周转变慢、利用率下降，并有就业或价格证据。,销量、订单和利用率改善，库存下降，利润并未受损。,供给扩张、进口成本下降、结构性降价、春节错位和基数效应。,只能描述需求压力，不能把PPI下降直接当作需求不足的因果证明。,EG-A_S06,A_S06
MAP0013,K1,A039,非制造业商务活动指数,服务和建筑总体活动广度。,有效需求相对供给偏弱时，销售、库存、产能利用、就业和价格出现相互印证的变化。,订单和销售弱，库存周转变慢、利用率下降，并有就业或价格证据。,销量、订单和利用率改善，库存下降，利润并未受损。,供给扩张、进口成本下降、结构性降价、春节错位和基数效应。,只能描述需求压力，不能把PPI下降直接当作需求不足的因果证明。,EG-A_S06,A_S06
MAP0014,K1,A040,综合PMI产出指数,总体产出活动方向。,有效需求相对供给偏弱时，销售、库存、产能利用、就业和价格出现相互印证的变化。,订单和销售弱，库存周转变慢、利用率下降，并有就业或价格证据。,销量、订单和利用率改善，库存下降，利润并未受损。,供给扩张、进口成本下降、结构性降价、春节错位和基数效应。,只能描述需求压力，不能把PPI下降直接当作需求不足的因果证明。,EG-A_S06,A_S06
MAP0015,K1,A059,居民消费价格指数CPI及涨跌幅,居民消费价格与实际购买力的总体价格证据。,有效需求相对供给偏弱时，销售、库存、产能利用、就业和价格出现相互印证的变化。,订单和销售弱，库存周转变慢、利用率下降，并有就业或价格证据。,销量、订单和利用率改善，库存下降，利润并未受损。,供给扩张、进口成本下降、结构性降价、春节错位和基数效应。,只能描述需求压力，不能把PPI下降直接当作需求不足的因果证明。,EG-A_S25,A_S25
MAP0016,K1,A060,核心CPI（不包括食品和能源）及涨跌幅,辅助识别食品和能源直接波动之外的价格走势。,有效需求相对供给偏弱时，销售、库存、产能利用、就业和价格出现相互印证的变化。,订单和销售弱，库存周转变慢、利用率下降，并有就业或价格证据。,销量、订单和利用率改善，库存下降，利润并未受损。,供给扩张、进口成本下降、结构性降价、春节错位和基数效应。,只能描述需求压力，不能把PPI下降直接当作需求不足的因果证明。,EG-A_S25,A_S25
