来源编号,发布主体,标题,公开原文链接,定义入口,发布日,读取日,报告期,发布节奏,表/节/脚注位置,已读定义依据,历史/制度证据,范围依据,限制
A_S01,国家统计局,2025年四季度和全年国内生产总值初步核算结果,https://www.stats.gov.cn/zwfwck/sjfb/202601/t20260120_1962349.html,https://www.stats.gov.cn/zwfwck/sjfb/202601/t20260120_1962349.html,2026-01-20,2026-09-15,2025年四季度及全年,季度、年度,表1—3；附件中国GDP季度核算说明1.1、1.2、1.4、5,绝对额为现价，增速为不变价；生产法增加值扣除中间投入；全国不含港澳台；季度表不是月度数据。,表2—3实际展示2020—2025年各季同比、季调环比；附件记载1992年起季度核算、2015年三季度改分季核算、2011年起公布环比。,全国；三次产业；11个行业及制造业子项。,初步数可修订；季调序列随新信息更新；未证明31省或地级所有细分可得。
A_S02,国家统计局,国家统计局关于2024年国内生产总值最终核实的公告,https://www.stats.gov.cn/zwfwck/sjfb/202512/t20251226_1962144.html,https://www.stats.gov.cn/zwfwck/sjfb/202512/t20251226_1962144.html,2025-12-26,2026-09-15,2024年最终核实,年度,正文、附件1、附件2年度GDP核算说明,2024年现价GDP最终数1348066亿元；初步数下修1018亿元；不变价增速5.0%。,核算说明确认1952年以来年度GDP序列及普查后追溯修订；数据库同步更新最终核实结果。,全国、三次产业和11个行业、制造业。,历史原发公报与修订库不能混用；本次只提取2024最终数作2025名义同比基期。
A_S03,国家统计局,中华人民共和国2025年国民经济和社会发展统计公报,https://www.stats.gov.cn/sj/zxfb/202602/t20260228_1962662.html,https://www.stats.gov.cn/sj/zxfb/202602/t20260228_1962662.html,2026-02-28,2026-09-15,2025年全年及年末,年度,一综合、五国内贸易、九居民收入消费；注释1—8、41,公报列三大需求拉动百分点；全员劳动生产率按2020年价GDP/就业人数；GNI包含国外初次收入净额；城镇新增就业扣自然减员。,年度公报；图示近年变化，本轮不从图片补造未读数值。,全国；三次产业；城乡就业；本地/外出农民工；东中西东北区域。,公报为初步统计；部分数值舍入；区域合计不证明逐省数据齐全。
A_S04,国家统计局,2025年居民收入和消费支出情况,https://www.stats.gov.cn/sj/zxfb/202601/t20260119_1962321.html,https://www.stats.gov.cn/sj/zxfb/202601/t20260119_1962321.html,2026-01-19,2026-09-15,2025年全年,季度累计、年度,正文一二、表1、附注1—2,住户收入与消费均含现金和实物；季度不含自产自用，年度包含；常住地分城乡。,附注明确按季发布；31省近2000县抽取16万户的住户调查。,全国、城镇/农村；八大消费类别；调查覆盖31省不等于本页公开31省结果。,收入分布、中位数、四类来源由C组处理；人均指标不能直接代替机构部门账户；年度减前三季度含口径差。
A_S05,国家统计局,2025年12月份社会消费品零售总额增长0.9%,https://www.stats.gov.cn/zwfwck/sjfb/202601/t20260119_1962323.html,https://www.stats.gov.cn/zwfwck/sjfb/202601/t20260119_1962323.html,2026-01-19,2026-09-15,2025年12月、1—12月,月度当期和累计,主要数据表、附注1—6,社零为实物商品销售及餐饮，含社会集团非生产经营用途；不是全体居民全部消费；增速名义。,表含当月和累计；附注5给13个月季调环比并说明修订；附注6标记五经普后可比增速。,全国；经营地城镇/乡村；商品/餐饮；限额以上和以下；限上16商品类。,限额及平台样本逐年变；原发绝对额相除未必复现官方可比增速；网上非实物不进社零。
A_S06,国家统计局服务业调查中心、中国物流与采购联合会,2025年12月中国采购经理指数运行情况,https://www.stats.gov.cn/zwfwck/sjfb/202512/t20251231_1962218.html,https://www.stats.gov.cn/zwfwck/sjfb/202512/t20251231_1962218.html,2025-12-31,2026-09-15,2025年12月,月度,表1—4、附注1—5,分类指数为扩散指数；制造业PMI加权5项，配送时间逆向；综合产出用制造业生产及非制造业活动加权；均季调。,表1—4实际列2024年12月至2025年12月；明确月度调查。,制造业31大类3200家、非制造业43大类4300家；大中小企业制造业PMI；建筑/服务活动。,调查覆盖行业不等于逐行业指数全部公开；50是环比扩张/收缩分界，非产值增速。
A_S07,国家统计局,2025年经济发展向新向优 预期目标圆满实现,https://www.stats.gov.cn/sj/zxfb/202601/t20260119_1962330.html,https://www.stats.gov.cn/sj/zxfb/202601/t20260119_1962330.html,2026-01-19,2026-09-15,2025年12月及全年,月度、季度、年度混合,八就业、九收入、四消费、附注及附表,2025年12月城镇调查失业率5.1%、企业周工时48.6小时；服务性消费占住户支出46.1%；须逐项辨认报告期。,正文及附表为月度国民经济发布；可与A_S08的2023年12月同名项目定位对照。,全国；本地/外来/外来农业户籍；31大城市合计；城乡收支。,31大城市指标是汇总率，不是31个城市各自失业率；企业就业工时不覆盖所有劳动者。
A_S08,国家统计局,2023年国民经济回升向好 高质量发展扎实推进,https://www.stats.gov.cn/sj/zxfb/202401/t20240117_1946624.html,https://www.stats.gov.cn/sj/zxfb/202401/t20240117_1946624.html,2024-01-17,2026-09-15,2023年12月及全年,月度发布,八就业；附注9—11,原文给2023年12月不含在校生16—24、25—29、30—59岁失业率14.9%、6.1%、3.9%。,为新年龄口径的起始公开月份提供原值证据；发布日与报告月相区分。,全国城镇、不含在校生的三年龄组。,2023年GDP等旧值已可能修订，本源仅用于失业率口径起点；不用于当前GDP基期。
A_S09,国家统计局,关于完善分年龄组调查失业率有关情况的说明,https://www.stats.gov.cn/sj/zxfb/202401/t20240117_1946641.html,https://www.stats.gov.cn/sj/zxfb/202401/t20240117_1946641.html,2024-01-17,2026-09-15,2024年发布制度说明,制度说明,两项调整及末段发布方式,分年龄失业率剔除在校生，增加25—29岁；列16—24、25—29、30—59三个口径。,明确今后在国家统计局数据发布库按月发布。,全国城镇三年龄组；不能把组间简单平均当总体。,新旧年龄口径不可无标识拼接；总体城镇率是否含学生参A_S11。
A_S10,国家统计局,调查失业率的计算方法,https://www.stats.gov.cn/zs/tjws/zytjzbqs/tcsyl/202411/t20241115_1957491.html,https://www.stats.gov.cn/zs/tjws/zytjzbqs/tcsyl/202411/t20241115_1957491.html,2024-11-29,2026-09-15,方法解释,制度说明,一就业/失业/非劳动力、二定义原则,就业以参考周有报酬工作至少1小时等为准；失业同时满足无工作、近3个月找工作、2周内可上岗；分母为劳动力。,固定方法说明可重复定位，不是独立数据序列。,16岁及以上劳动力；不含退出求职的非劳动力。,失业率不足以表示工资、工时充分性或就业质量。
